SERIES NAME	SERIES CODE	BILLING ALLOWED	SINGLE REF A/C	GST DOCUMENT TYPE	GST -> ALPHABET ADD (SUFFIX) IN BILL/NOTE NO.	BILLING FORM NAME	BILLING SALE/PUR A/C	BILLING A/C TYPE	STOCK TYPE	NO. SERIES	PREVIOUS LINK	NEXT LINK	DISCOUNT JVS	0 GRACE FOR INTEREST CALCULATION	DISC. A/C	DESIGN NOS. ENTRY	TDS %	TDS A/C	STOCK EFFECT	COMPULSORY LINK	SHOW ALL ENTRIES IN PICK	ALL COMPANIES DATA IN PICK	COPY ITEM DETAILS ALSO AFTER REF NO. (PICK) ENTRY	WARN ON MANUAL ENTRY OF V NO.	GST -> SINGLE GST RATE FOR ALL ITEMS IN BILL	GST -> DEFAULT HSN/SAC CODE	GST -> ELIGIBILITY FOR INPUT TAX CREDIT (PURCHASES)	CGST %	SGST %	GST A/C	OLD VAT A/C	STAGE GROUP	MAIN STAGE/LINK	FINAL STAGE OF JOB CARD	INCLUDE COSTING OF STAGE	SCAN PATH	TCS A/C
CASH SALES	S4	1	-1	Invoices for outward supply	C	CHALLAN	CASH SALES A/C		FINISH				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
GREY SALES	S5	1	-1	Invoices for outward supply	G	CHALLAN	GREY SALES A/C		GREY				1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
FINISH SALES (GST)	S51	1	-1	Invoices for outward supply	F	CHALLAN	SALES A/C	SUNDRY DEBTORS	FINISH		SALES CHALLAN		1	0	DISCOUNT A/C	0	0		-1	0	0	0	1	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
FENT SALES	S6	1	-1	Invoices for outward supply	W	CHALLAN	FENT SALES A/C	SUNDRY DEBTORS					1	0	DISCOUNT A/C	0	0			0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
DEBIT NOTE (TDS)	S66	1	0		TDS	BILLSDIR	TDS PAYABLE A/C (194Q)						1	0	DISCOUNT A/C SALES	0	0			0	0	0	0	1	1			0	0					0	0		
DEBIT NOTE (TCS)	S77	1	0		TCS	BILLSDIR	TCS PAYABLE A/C	SUNDRY DEBTORS					1	0	DISCOUNT A/C SALES	0	0			0	0	0	0	1	1			0	0					0	0		
DEBIT NOTE (ON SALES)	S91	1	0	Debit Note	D	BILLSDIR	DISCOUNT A/C SALES	SUNDRY DEBTORS					1	0	DISCOUNT A/C SALES	0	0			0	0	0	0	1	1	5407		2.5	2.5	GST PAYABLE A/C				0	0		TCS PAYABLE A/C
DEBIT NOTE (ON PURCHASES)	S92	1	-1	Debit Note (inward)		BILLSDIR	DISCOUNT A/C PURCHASE						1	0	DISCOUNT A/C PURCHASE	0	0			0	0	0	0	1	1			2.5	2.5	GST PAYABLE A/C				0	0		TCS RECEIVABLE A/C
TDS	T1	1	0			JOBBILL							0	0		0	0			0	0	0	0	1	0			0						0	0		
VATAV	V1	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
CLOSING ENTRIES (TRADING)	V2	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
CLOSING ENTRIES (P & L)	V3	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
VAT JV	V4	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
COMMISSION JVS	V5	0	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
UNADJ PAYMENT	XX	1	0										0	0		0	0			0	0	0	0	1	0			0						0	0		
